year,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETIT LARCENY,4.208068134987866,4.018828907270352,4.0,4.190203789774758,4.21103795678494,4.22503692431634,4.16352391009202,4.134301116346195,4.076781231254582,4.34914119045047,4.218218820101293,4.321309919316564,4.208520179372197,3.7114022372343625,3.840397854166187,3.7854069135101907,4.2248772573066145,4.287275907302142,4.327517809154119,3.9540413711832665,3.520010283657554,3.917925852530757,3.9832137665869554,4.223975590569951,4.115681632111168,3.750063345664623,3.9434000770992537,4.049628707162954,4.402237601432772,4.403831333259936,4.5553098769937534,4.48382619835593,4.527607089775727,4.323945819383356,4.4431918439368685,4.7813094267861995,4.498686246101712,3.895063047659756,3.9880428233767438,4.172894267393086,4.2476601871850255,4.494303973325923,4.740371465125513,4.6115505471882114,4.388160462926818,4.133602331315848,4.29655797966296,4.618049364476935,4.591366055588409,3.741817538479684,4.090122937409433,4.1880541297246845,4.030865166775084,4.53319548703196,4.828018631314941,4.839180957946551,4.725194993651369,4.575694368207267,4.762592004618271,4.507173620826818,3.9952687606781447,4.333269299377041,4.316119530619032,4.407176287051482,4.571677121010943,4.875042793563848,5.308103734999326,5.118009533775142,4.602092966658555,4.932294787297783,4.975039984490864,4.572549798817744,4.380777678549879,4.3119101813252865,4.19433683822173,4.508384054658744,4.633558126032781,4.949391772680843,4.904131426294115,4.841774225250606,4.823052636539277,4.753238667656426,4.763921834406416,4.7015482906973745,4.431292584672005,4.056392363770459,4.2535232882318335,4.502804944645783,4.701716536910234,4.766702650833634,4.825063399088848,5.026848968909345,5.044200561497946,5.1292968224801685,4.787194440997642,4.800989998989797,4.544633875835031,4.290457881859489,4.454146329498908,4.426952772485711,4.818047840380909,4.957902389830906,5.184506790564689,5.158230693158321,5.02327520322379,4.9960348929421095,4.73209549071618,5.291533546325879,5.0117530978844425,3.9294229852169766,4.4351861617972785,4.516161514449703,4.716399506781751,5.05213475570111,4.950293718933574,5.009783865516321,4.876532880740086,4.669762014731264,4.848811540633503,4.955752212389381,4.504123493338972,4.584861146641653,4.270151416720803,4.457349724715288,4.600467124354165,4.685942173479562,4.7701689685925714,5.089958836316543,5.332364875018785,5.0599201065246335,4.881806108897742,4.860103900213602,4.628086258985311,4.6353838301960435,4.508632681449963,4.79754568776282,4.908887156499708,4.993299250508761,5.462567742554314,5.321092211704979,5.3318797849409085,4.829794804886728,5.0949890953044115,5.184104600588919,5.039332026740409,4.857347670250896,4.830454254638516,5.105899151220286,5.0985854607459355,5.355172067823819,5.093057748433089,5.346378337001244,5.240865482751582,5.421123163670384,5.449531163816878,5.5523582449505335,5.222097079910997,5.062701763099081,4.917270613975113,5.076389641347925,5.007778353952144,5.129805292061907,5.446979614737236,5.389874890893221,5.5161369795516135,5.701754385964913,5.245928032844071,5.8681300768833715,5.111763954528037,5.492996429552321,5.610248257307081,5.983223833725879,5.519704279180503,5.302054584483287,5.834987558363855,5.9575143514721836,5.650943655394082,5.255227470987867,5.612845776003217,5.970590845883014
HARRASSMENT 2,3.95393561976281,4.143992163691772,3.9358533791523485,3.930401620784173,4.199991162564624,4.066150472183682,3.8919897420425404,3.943291311176196,3.6946524182977494,3.6534514421518853,3.5706852292962696,3.6236355007119125,3.3497757847533634,3.5883269972376444,3.218750719498998,3.6128055989029177,3.736013654466148,3.7691298644512456,3.6322143070426143,3.3858715094379326,3.732110720713,3.465857484931054,3.2329910442162517,3.10123715763629,3.195185095036842,3.1824861906451125,3.319803170139912,3.5814768691481023,3.427156344661375,3.650776175272487,3.5420647017152183,3.5464930073662857,3.555979502650902,3.1970064990481193,3.0683266346436624,3.2748018078091428,3.513984726076173,3.016135926480017,3.3113963943087548,3.2134419748324574,3.5164686825053995,3.359729554505881,3.5095072131292184,3.489002058727923,3.4030632161473284,3.2795337368303072,3.3322194108941616,3.1636057973967753,3.0916617386162035,3.2582414342159582,3.6927967092039453,3.427438170788614,3.0887597855588704,3.429675911358835,3.4553027588677896,3.4119260075071365,3.4395973154362416,3.3615105939181027,3.2977341607735604,3.193152826927825,3.2093573399921147,2.941902906226845,3.206803173547437,3.185939937597504,3.443065793690765,3.446308341892046,3.427120320014383,3.269387280548773,3.4290581650036507,3.3241461953265428,3.2036058740852034,3.231334757339427,3.251188723419662,3.4295798061430656,3.6201807784541593,3.5148074193470786,3.7224777812513956,3.7863311356671927,3.717398042775539,3.4527943392517852,3.5931388718722017,3.414669188956203,3.645656839489438,3.1919004559857793,3.347093052170886,3.653589765410036,3.3097168580709515,3.4453656357047113,3.40727886689804,3.6487945304066214,3.5458605444466884,3.404629754974956,3.8167938931297707,3.8520145206830096,3.7448814989452788,3.5559147388625116,3.703799231384282,3.7253873936851916,3.5883348458463122,3.8228216183695976,3.9768733703661714,4.33875090879242,4.328984989278056,3.8636159309538796,4.129322124180736,4.055738076356634,3.856763925729443,4.164764947512551,4.164369250413535,3.8912732474964233,4.108216432865731,3.8465411338233815,4.206582566631888,4.243022611794736,4.105286940804338,4.140353998043227,4.145052948629073,4.195736198556045,4.012012937009087,4.165704758240349,4.123493338972299,4.175549302180154,4.230173404627455,3.8489579405183902,4.050770283341591,4.315624554906709,4.1265938727794245,4.3175616298968595,4.575965536242048,4.181091877496671,4.273572377158034,3.902850663220907,4.174914053547245,4.1310156414182355,4.22769549682241,4.181322895453704,4.214578054960048,4.144537648285104,4.035777660543859,4.051906151400849,4.209509179653626,4.089669078401139,4.2988149354914995,4.11702731177567,4.241952372003115,4.410035842293907,4.243975261249734,4.373463074116185,4.74314945123562,4.472258452894552,4.550021530070331,4.832073485790834,4.539191671769749,4.50833143695163,4.420849420849421,4.458878018032832,4.3924951240282395,4.386019369257512,4.329276630657733,4.580669628345433,4.595402128552732,4.610584123814279,4.355245932298486,4.313354669770148,4.496181325449618,4.428089999008821,4.4623930018515034,4.439131734086772,4.3581555754247026,4.528975556165888,4.931515225632873,5.123755216726582,4.5047302800576405,4.866605335786568,4.889982385998267,4.727388164334277,4.49712919974726,4.575854503158952,4.53853445551949,4.301902423148614
ASSAULT 3 & RELATED OFFENSES,3.0541691469389627,3.129081410535481,3.2554410080183276,3.3583601477773803,3.5946268392912373,3.696907308776798,3.6053703424347567,3.3214482787894224,3.2947501721801338,2.972885384033704,2.9555283180314977,2.98766018035121,2.9439461883408073,3.044060935918825,3.3407777496373723,2.950773159313378,3.4346882440946542,3.294709226060341,3.2674998933583588,3.1270385724206142,3.2650612734595934,3.27388324663529,2.937590847282787,2.738909680341351,3.0535702431792537,2.9569756245882535,3.090773033402118,3.260919699275864,3.3519800119397707,3.3711328856104816,3.3037803490543762,3.0639479022098857,2.9991792187049406,2.7024661371145977,2.693363395745515,2.9488034378009926,3.0621516096554773,3.093609745672152,3.260416183899523,3.319512077527602,3.3387329013678904,3.482448828378253,3.394803017602682,3.4629970744392677,3.06091988334979,2.898453261600538,3.0075905857640715,3.084643011793474,3.160260201064459,3.155039216842602,3.3258542513906417,3.2711152589827344,3.5912159888741844,3.690385220479166,3.6322106771766394,3.2411049425726555,3.41238889896608,3.368097486002854,2.9008514937220378,3.1958960853702028,3.3276383230385074,3.1943796481791487,3.4823507054966982,3.5077028081123247,3.548372327274392,3.4052265205979686,3.6810643174974156,3.2484594814556442,3.2733025066926262,2.8999400838825644,2.9903552561430717,2.973026675276936,3.094301368540465,3.2710160865451012,3.5486995019369116,3.546082228691029,3.6510204993077577,3.7793667007150153,3.801532125935438,3.640612374150997,3.3198247019461853,3.2949402552620866,3.3717383937648253,3.312981425664013,3.225244939573283,3.3926190678807475,3.4503926132439826,3.641463535719605,3.3205140230747587,3.84790692095478,3.4471150609304515,3.406885970849691,3.382909116220794,3.184242369918881,3.3105844397567936,3.4776240024244873,3.27564416703206,3.5447978562274263,3.3553260896225257,3.496941742705304,3.695726108151003,3.595300077393935,3.3796461758398855,3.4882675537175225,3.1496792422242295,3.4167893961708398,3.469496021220159,3.465883158375171,3.40984938622711,3.420759815609601,3.5070140280561124,3.2146813009767397,3.6588257611685475,3.4772557613119175,3.4026208766380477,3.22422840878769,3.4279157602849426,3.062936042978341,3.2368191385594742,3.4269590868282673,3.319940790864876,3.1352150308405102,3.5130678127030133,3.142519546471579,3.6237525656451273,3.363718368703414,3.3890134258924483,3.445724064566856,3.2234634073035116,3.0988984384457083,3.3120849933598935,2.9455974262282116,3.0524012918012295,3.332432675853373,3.0439407577121345,3.1869032821136707,3.2230559345156893,3.2461408646448606,3.381132799386121,3.093492752591749,3.24075221129308,3.207211481437552,3.17155845179599,3.076964637869087,3.063333959781996,3.182795698924731,3.244295158882491,3.135989846373516,3.321405413194361,3.491522022674827,3.368259891871202,3.11214237871974,3.3680342927127986,3.287061619762826,3.1329288472145613,3.1187481158705364,3.0849105842925035,3.1599205363794387,3.3611376999863256,3.0853830317477517,3.375558683359261,3.327508736894658,3.1442865158032545,3.064688197071089,3.0918945553091897,2.9983149965308753,2.8953229398663693,3.110652286125676,2.8049559330693574,2.9360065915957154,3.100158982511924,3.028800462790794,2.8820249357809664,2.8518859245630175,3.064277126960606,2.904685061241766,2.8240982390593663,2.796796108805414,2.6426909487835,2.73972602739726
CRIMINAL MISCHIEF & RELATED OF,3.0312743257475163,2.720940356987375,2.7560137457044673,3.365510666189965,2.942865980292519,3.3925614286353665,3.0687671055750707,3.1495394541364234,2.9726066961409434,3.173814410716215,2.9925302375060707,3.2961556715709537,3.0112107623318387,2.9811558132538356,3.096723689360624,3.2888825838180358,2.964789177571275,3.1460428508963707,3.158725419101651,3.2196292165568905,3.020824406547262,3.4431508545949963,3.1228020818680546,3.0392600891516297,3.2527161286039874,3.212892109664015,3.4014376743236805,3.4869240348692405,3.250270855904659,3.2830562589452827,3.27587317261662,3.512330522045479,3.2010470507331577,3.28015930326703,3.2521321439074597,3.3143167617495246,3.180021118286963,3.147039965804659,2.952217639152802,3.136300081963261,3.1609971202303813,3.4986570343613965,3.1587770768076937,3.3524758912124826,2.98514317205906,3.066577000672495,3.1985487181935364,3.280776382485545,3.3471318746303966,3.1373474081500268,3.402982283924648,3.3084461035930937,2.9721181669321015,3.294826268710388,3.1104442852024365,3.1714279292441168,2.9249047705423545,3.1068174333077176,3.300139510270842,2.7213123748388335,2.796688132474701,3.4880210763193285,3.1664212076583214,3.251755070202808,3.072203653678861,3.2865457035261896,3.4001528158568926,3.0508080455760958,2.866877585787296,3.257040143798682,3.349004022682111,3.0574735482589044,3.374284955709493,3.022940589754738,3.4495480538646004,2.8844997233382252,2.9967397615113214,3.1943541647321014,3.0952486383562854,2.8347419685950777,3.0582913152066347,3.1081631186992644,2.843668812831808,2.8801813638354328,2.9641418411498486,3.1940544067171586,3.455508095250275,2.6684207913419056,2.8726198292843073,2.7539882451721245,2.6189995287147374,2.633003925815622,2.652033689876795,2.9086182942679155,2.7745377838441496,2.858874633801394,2.6643625390111163,2.755446813468484,2.8844031296755044,3.1184197332798553,3.0314023353361295,2.872956682849035,3.1451036454610435,2.874674098714376,3.1589430047013596,3.2899059703183418,2.8169761273209546,3.060816978548608,3.064511448387939,2.9152757908122715,3.5175614386668075,3.5771825596616655,3.177463720003794,3.1377176294940643,3.203795752372345,2.9529485012896917,2.6462362249898406,2.941390961907772,3.480671492376405,2.718994485058356,3.010678790441954,3.1863790113981976,3.1582629553745436,3.0645850617190837,3.2392006983273176,2.9957745810188485,3.1600260322510665,2.957772535960409,3.0656714922606825,2.929427430093209,3.1686586985391765,2.739906648031434,3.1878320658401917,3.077246389864601,3.2512342143305237,2.9250747137076516,3.5933541220035083,3.3255571549114014,3.5753680878614937,3.1409389604535853,3.5306360100096628,2.732771913177559,2.9482092650497935,2.841937488181106,3.1304534593390074,3.05663082437276,3.630838131797825,3.1042597636108833,3.3790436850068444,3.185512190227752,3.2390794698818235,2.805951583580519,3.319555011226781,2.8622721181319375,3.3204633204633205,2.5678971744909425,3.2387440595555312,2.914700769803824,3.407630247504444,2.7549030230794234,3.14097340543744,2.7708437343984027,3.212081541051057,2.703423528270779,3.0327666913032765,2.743086529884032,3.423940751871629,2.6080578119481648,3.7399412440924764,3.007415545179896,3.7299743182096123,3.4915912565596465,3.6871123363197795,3.6461208218337933,3.1397657058182125,3.0925107801380918,3.576824812505151,3.1245869570964078,3.1855915893488063,2.8551140566288944
GRAND LARCENY,2.2459819588809014,2.0379843273835436,2.1351660939289805,2.197592658801096,2.1695903848703106,2.2199346551492636,2.2283042044695387,2.2963623243770956,2.2638910488547244,2.240466673868424,2.5138179043037856,2.524916943521595,2.172645739910314,1.9801438612805293,2.0698547187622314,2.0452073580176857,2.1092778726004595,2.079142982072584,2.1285671629057714,2.02647250689169,2.080298226069072,2.221121294690777,2.2577015051343365,2.3003027341422135,2.082180868718607,2.016925961587189,1.884396471575319,2.0986116876527836,2.235390364163,2.2767807992953872,2.1638795268660242,2.081776449236682,2.320370904412254,2.1707258364515636,2.1443976080776395,2.296806697784693,1.846622301893279,1.7364821543064757,1.8306530101496965,1.8489947447085482,1.8538516918646508,1.873205520051866,2.1705563153483034,2.0522266767797164,2.034489884957175,2.039901367406411,2.038478063684537,2.292467969128098,1.7693672383205206,1.816359025771068,1.7973168793530594,1.7102193187120858,1.606065364168592,1.9732997707556075,2.0557147975635974,2.0993009822211235,1.9930165064393253,2.083653529476342,2.0854380141434548,2.3537157435602007,2.000262846628992,1.8853426274047038,1.9668392797757615,1.8818252730109204,1.9504601437663112,2.03355015405683,2.1753786687042114,2.316009766306243,2.3266001460209296,2.334331935290593,2.1882421363834634,2.304902886096071,2.208491226376385,2.1661850080560603,2.121379819221546,2.0232395890971206,2.150417578491358,2.4259448416751788,2.524022494796971,2.4809452051802836,2.5234437585410676,2.480783506142094,2.8888512368688577,2.542700363242909,2.4891828716367437,2.181374634782855,2.291735938818835,2.4822518989227027,2.45990057217897,2.660429411059134,2.791804124868152,2.8563692974143766,2.717000394440706,2.7091829874960784,2.4345452289365928,2.7528033134660066,2.3677490908153,2.3360130490504485,2.4576291972235165,2.4716735184999497,2.4645731776442577,2.7228593541124324,2.7497319513938527,2.5285444574305496,2.4294217096273654,2.7076016766738418,2.6312997347480103,2.8154952076677318,2.626309527264285,2.4256874900651724,2.2940618078261785,2.3814318799718057,2.4162951721521386,2.567004599417247,2.4694984184365114,2.5638174864360046,2.5458370186216626,2.6205119478814694,2.6259048205760047,2.6061305630370657,2.244131951786847,2.401864642846991,2.2012892908900104,2.250043995273651,2.3993205463939415,2.435550491382994,2.5068093619688097,2.39813144627908,2.4845965035315336,2.5420651252874955,2.6666666666666665,2.505208195986393,2.482029378060215,2.425770812693266,2.342961568884161,2.3538123826399726,2.2315338140713314,2.377525189854569,2.390772624814158,2.4197566009536686,2.4479076336067,2.3105206974261656,2.506766166539664,2.493448955885134,2.327704244637152,2.2451612903225806,2.2979313286415013,2.273989264655332,2.3487595763587024,2.588542189224441,2.4903114683507965,2.504545019615348,2.3933455807307613,2.5942501706743535,2.7661334804191946,2.5267888952835103,2.428371288080653,2.2907871864911846,2.4941884315602354,2.44880268718171,2.4174630219522433,2.3889166250624068,2.6089395922947447,2.5215788963243138,2.544961813254496,2.505203687184062,2.369388467008345,2.3907196609524846,2.403882999105888,2.535017852238396,2.1493212669683257,1.9833891161522252,1.8200613996616755,2.112848819380558,2.27024911231023,2.2168725695087432,2.47520672508997,2.220518649713183,2.3410794818027747,2.139116541909524
OFF. AGNST PUB ORD SENSBLTY &,2.0445075323961723,2.046147148454506,2.1580756013745703,2.1046359194374924,1.9840042419689805,1.9402049859016246,1.9524599702605436,1.8612844348232098,1.8262202572704451,1.7759533326131576,1.7552785550750445,1.872330327479829,1.9282511210762332,1.9254437546153214,2.051435544401722,1.983732917198657,1.9322755336409803,1.8867512024486224,1.808642238621337,1.7487005744828603,1.6753792098723113,1.833044339856329,1.659867773245182,1.8497771209267957,1.7768238444006816,1.9003699386813968,1.8277058436699245,1.8334025183340252,1.8108651911468814,1.7549267863040847,1.6679904686258937,1.68677271271485,1.6593092127154552,1.6915030963478412,1.5782766395451426,1.6028253192067372,1.6870073422881418,1.8647146826244922,1.911757890346202,1.8586374813171977,1.6941144708423326,1.7921644901361489,1.7801208805752855,1.746668111388016,1.7382718317297756,1.602779645819323,1.721010168520552,1.7040678570518861,1.8143110585452396,1.736745886654479,1.8627588463516103,1.7848810079328044,1.7249500908458761,1.7485503663415292,1.9123969903260483,1.7239441684835135,1.8070923272265553,1.5764628389504884,1.6933660460864963,1.6048061887910459,1.8504402681035617,1.7865473805538024,1.7364245332319825,1.764820592823713,1.7856325259832426,1.636425881547415,1.5955773293181716,1.7184048366469014,1.6695059625212947,1.5530257639304974,1.5339504676973779,1.5821370026327555,1.7619656778740558,1.7544308329710239,1.6140933407120457,1.734549041306806,1.5787593229422536,1.6203918655399758,1.7269627595979276,1.6554194238790976,1.6375288629188067,1.458298412394339,1.6604540833615722,1.5946621325707808,1.7257671457701298,1.761552208322696,1.8211115942399672,1.7152360621555875,1.6930869524434857,1.5545160129543,1.4722053906057138,1.5048959884481747,1.5011949233160862,1.5596289158786356,1.5436158332299292,1.5178300838468533,1.6687730520234194,1.7971571711522776,1.6629467023129183,1.654467061064875,1.086044666137626,0.6332231056075424,0.6008756254467477,0.8608289130630227,1.0838602098242203,1.1872663419055172,1.3023872679045092,1.4006161570059334,1.3465277576250037,1.370211413129868,1.3078789157261892,1.4600745141476186,1.3397514938821966,1.4376188985479326,1.3398102123813826,1.4030952592724362,1.2478187077187868,1.2081581058414568,1.370706915139381,1.4287546492240606,1.5145908225840559,1.6145078309314687,1.5641397231522662,1.576287804510144,1.4367612711444548,1.3886910696481984,1.5089064044158411,1.544794412839369,1.3850623653759455,1.3727151676552474,1.4741035856573703,1.400279528493447,1.4923429523908742,1.462067309135669,1.5437907427106345,1.417576895612388,1.4470863379458196,1.436938502010225,1.290105990120378,1.326121509738334,1.3255370283194172,1.3829913414778794,1.3033081956013348,1.318313207445228,1.2779552715654954,1.3591397849462366,1.4368735338025167,1.4067003358100425,1.3857201181584573,1.3168455904484802,1.342041050667432,1.3946033872356713,1.3395590936925903,1.4109079875597361,1.3789299503585217,1.3538326618981062,1.337801829519545,1.3875093121430346,1.4522083960071106,1.4573626611767254,1.4272662172506605,1.2581128307538694,1.2787544417430334,1.2001745708466687,1.3476225671347624,1.1572009118842304,1.2397026860224862,1.1709092884892283,1.1674543364414356,1.1452897555616588,1.2718600953895072,1.0082228007107146,1.3094417643004825,1.2971481140754368,1.2749182207062375,1.1957355625512553,1.030191478256092,1.2186417827592588,1.0800563008071697,1.2160123080564513
DANGEROUS DRUGS,1.8476120701497323,2.040705267740531,1.9335624284077892,2.085567870337266,1.9066766824267596,1.908875262945889,1.7886774561989527,2.1159641750498746,2.088378396391993,2.179971913146808,2.1761753890983093,1.9387755102040816,2.4394618834080717,2.3302245439378604,2.3070015886537885,2.1539698302359676,2.0355268980340098,1.8080454744206382,1.6465469436505569,2.605164032743419,2.339532093581284,2.367682272314425,2.206123692971351,1.8736144549593574,2.467196247206426,2.5743678102670655,2.469443751558992,2.3130851897975186,2.2154907466778697,1.9134647143014425,1.8633407036901874,1.9920999252695633,1.8145921604294684,2.0853848005426814,1.9900009802960494,1.933763058457435,2.639785870392653,2.8371446890361187,2.5397413912962876,2.5432717805313145,2.2138228941684663,2.120959525794202,2.2786429611329244,2.3187777657384334,2.291671450549955,2.311140999775835,2.040865040339906,1.8467103084643013,2.2921348314606744,2.7068467299640266,2.507829663908755,2.6808212785814276,2.4853637199703913,2.290196430979458,2.2527767825152276,2.382504326717763,2.2628333031017593,2.6742781864090457,2.135950353586376,2.1260252928428387,2.5390984360625577,3.1065616509783474,2.563067129079766,2.715483619344774,2.481571356622865,2.3051466392787856,2.5304508067778326,2.362515986513196,2.462886347043076,2.1545835829838227,2.2536713032520717,2.044111072475287,2.4981294199995174,2.314518810260607,2.375023058476296,2.3841027738350133,2.362556384261534,2.035936484353236,1.9660806801576407,2.2188735285767325,1.9673907921398615,2.1144129690380975,1.5870326443013667,1.7260478656258855,2.1708857611776993,2.371429381896576,1.7699567741770468,1.8592066722931044,2.0049713910514964,1.7320379033225382,1.685405866379407,1.6786246108027616,1.7517807837768857,1.765786761080984,1.7198163543864005,1.4723709465602586,1.8905883263263779,2.036001398112548,2.0946260822643543,1.98536047327785,1.8841401201677812,1.6440348038181007,1.7378484631879914,1.7598669423716624,1.6535816021677205,1.862467429477739,1.3421750663129972,0.7388178913738019,1.0360138135175134,1.5482435224924496,1.492458601413353,1.4600745141476186,1.2970691454045338,1.2666457967105738,1.3804789877993673,1.5187227608289604,1.4510075777496236,1.230036220434159,1.1550900970275682,1.13120430934975,1.23440473673081,1.4524885591654586,1.4442056868722202,1.2494657716770998,1.1206266072144762,1.1204481792717087,0.993082170318413,1.0845936820683593,1.2823723889195011,1.3339789371746762,1.2908366533864541,1.2974341393950581,1.385560995937077,1.4080278603380467,1.4974224695196792,1.4202216286265903,1.3301500682128242,1.302923512185437,1.2781161574984414,1.342727682489977,1.3181041104036075,1.397224528525679,1.5503061197677168,1.4398789745252183,1.5088463500416143,1.5053763440860215,1.5141821283855834,1.401411988682937,1.0470952712601167,0.8402729005718873,0.7774747619731113,0.8563773801550092,0.6685037762808737,0.7282105742243798,0.5405405405405406,0.5590725972210804,0.7087327967475209,0.7418673950831886,0.6700396554081772,0.6067829667352909,0.763019482924661,0.7388916625062407,0.7480830372171311,0.7079817670449036,0.6775067750677507,0.7706412924967787,0.6332680387474172,0.45369339020348287,0.6539787967811981,0.65092007690195,0.5197505197505198,0.4297343084996488,0.7518325919428608,0.11652867218644587,0.12022255151396538,0.40739662971879054,0.34339715941869725,0.4626080520235798,0.40214862264096746,0.46746945175892773
